"","bigram","n"
"1","NA_NA",55
"2","atl3_2",7
"3","luis_juez",7
"4","bla_bla",4
"5","1_7",3
"6","brote_psicótico",3
"7","derechos_humanos",3
"8","salud_mental",3
"9","t39.1997_6",3
"10","1_utld",2
"11","13_1",2
"12","canal_doce",2
"13","cara_dura",2
"14","caso_límite",2
"15","cometemos_errores",2
"16","fb_obo_1",2
"17","haga_justicia",2
"18","juez_juez",2
"19","juicio_político",2
"20","mal_educado",2
"21","marcelo_cossar",2
"22","persona_enferma",2
"23","pobres_familias",2
"24","pongan_gente",2
"25","problemas_mentales",2
"26","queda_grande",2
"27","renuncie_sra",2
"28","sociedad_cordobesa",2
"29","stp_dst",2
"30","tenor.co_stp",2
"31","utld_tenor.co",2
"32","vos_juez",2
"33","_nc_oc_aqkvrahzvidfjzf6x64dwktww62xw1vld1xguscacmas0r1zabflz0ejf80dxv2wyew",1
"34","00_at_dhdy8wo_8wg9g5f1mprgpuamqucaiwtcsl_uuowjwla",1
"35","1_abstocia",1
"36","100_años",1
"37","12_años",1
"38","1ra_mujer",1
"39","2_años",1
"40","2_muerte",1
"41","24_años",1
"42","24_hs",1
"43","26itemid_3d16216173",1
"44","26itemid_3d20834062",1
"45","2f0684da64463cbcc9075779aea6d67513_2ftenor.gif",1
"46","2fc7e6a4ee93370c1e12017ea65696eeba_2ftenor.gif",1
"47","2fimages_2f0684da64463cbcc9075779aea6d67513",1
"48","2fimages_2fc7e6a4ee93370c1e12017ea65696eeba",1
"49","2fmedia.tenor.co_2fimages",1
"50","2fmedia1_tenor.co",1
"51","2ftenor.gif_3fc",1
"52","2ftenor.gif_3ft",1
"53","3_meses",1
"54","3_motivo",1
"55","30_años",1
"56","3d16216173_fb_obo",1
"57","3d20834062_fb_obo",1
"58","3daaw_dlztpsohsce_0guu1q",1
"59","3dvjffzmfjzwjvb2tfd2viy29tbwvudhm_26itemid",1
"60","3fc_3dvjffzmfjzwjvb2tfd2viy29tbwvudhm",1
"61","3ft_3daaw",1
"62","3l_cursito",1
"63","40_años.y",1
"64","5_rre",1
"65","6_10333122_298592793654253_1393149385_n.png",1
"66","6_105929514_953858501743174_8944555844539874518_n.png",1
"67","6_286164360_3296449307279372_4180344630968550415_n.webp",1
"68","6_meses",1
"69","62e49f5b_jodeme",1
"70","7_familias",1
"71","8_policías",1
"72","9_meses",1
"73","abogados_medicos",1
"74","abría_delincuencia",1
"75","abstocia_causa",1
"76","abuelo_xq",1
"77","acá_vean",1
"78","accionar_policial",1
"79","actúa_km",1
"80","actúa_xq",1
"81","actuan_xq",1
"82","actuarian_uds",1
"83","ala_familia",1
"84","ala_sociedad",1
"85","alcehimer_luisito",1
"86","alguien_aka",1
"87","alguien_drogado",1
"88","alguien_llamo",1
"89","alguien_paga",1
"90","algun_familiar",1
"91","allegados_agotar",1
"92","alos_empleados",1
"93","alta_gama",1
"94","amigos_cállate",1
"95","amorfa.lo_mataron",1
"96","anda_sacando",1
"97","andar_tranquila",1
"98","ande_drogado",1
"99","angelos_jajaja",1
"100","años_juez",1
"101","años_prendidos",1
"102","aparezcan_personas",1
"103","aplicar_violencia",1
"104","apúrate_cara",1
"105","argentina_matar",1
"106","argentina_perejil",1
"107","arma_blanca",1
"108","arman_causas",1
"109","armas_mata",1
"110","armas_otrogadas",1
"111","asen_3l",1
"112","asquerosamente_renuncie",1
"113","atacar_3",1
"114","atacó_alguien",1
"115","atención_médica",1
"116","atención_profesional",1
"117","atrevido_vulgar",1
"118","azul_quieren",1
"119","banco_central",1
"120","barrios_chorean",1
"121","basaldua_hdp",1
"122","birn_circoooooo",1
"123","blablablablabla_inoperante",1
"124","bracamonte_tapo",1
"125","bravo_mujer",1
"126","brote_sicotico",1
"127","brotes_psicóticos",1
"128","bs_as",1
"129","buen_accionar",1
"130","buen_resultado",1
"131","bueno_habra",1
"132","burar_podes",1
"133","busca_justicia",1
"134","buscar_peregiles",1
"135","cagan_electrocutando",1
"136","cagando_tanpoco",1
"137","cagon_jajajajajajaj",1
"138","cagones_muestran",1
"139","caian_birn",1
"140","calidad_ajora",1
"141","calienta_silla",1
"142","cállate_juez",1
"143","calle_libremente",1
"144","callese_sos",1
"145","calzoncillos_sucios",1
"146","camariitas_pa",1
"147","campaña_hsdrmp",1
"148","cana_tira",1
"149","canal_12",1
"150","capacitados_anda",1
"151","cara_nomas",1
"152","caradura_inútil",1
"153","caraduras_váyanse",1
"154","cardíacos_respiratorios",1
"155","cargos_públicos",1
"156","cartera_inútil",1
"157","caso_basaldua",1
"158","caso_blas",1
"159","caso_contrario",1
"160","casos_falla",1
"161","casos_parecidos",1
"162","casos_solicito",1
"163","causa_veo",1
"164","cba_chui",1
"165","cdg2_1",1
"166","cecilia_basualda",1
"167","charlatan_osea",1
"168","che_nene",1
"169","chico_marchen",1
"170","chivo_espiatorio",1
"171","choreti_impresentable",1
"172","choros_delincuentes",1
"173","choros_narcos",1
"174","choros_violadores",1
"175","chuiii.viejo_galllinon",1
"176","cierres_despidos",1
"177","claaaaaa_déjense",1
"178","clase_política",1
"179","coincido_sra",1
"180","colador_personas",1
"181","comentar_piensen",1
"182","conoce_apareció",1
"183","contacto_deberían",1
"184","contención_atención",1
"185","contención_psiquiatrica",1
"186","control_el.min.d",1
"187","controles_sicológicos",1
"188","cordoba_falta",1
"189","córdoba_eliminen",1
"190","corrupcion_descarada",1
"191","corrupcion_policial",1
"192","corrupto_inutil",1
"193","corruptos_abusos",1
"194","corruptos_hdp",1
"195","cortan_cabeza",1
"196","cortar_calle",1
"197","cossar_quieren",1
"198","creen_dueño",1
"199","creen_dueños",1
"200","creen_qvle",1
"201","crisis_digo",1
"202","cualquiera_flaca",1
"203","cubren_hechos",1
"204","cubrí_seguridad",1
"205","culpas_repartidas",1
"206","cumplir_dicha",1
"207","cupula_policial",1
"208","daban_escrito",1
"209","dando_vueltas",1
"210","das_armas",1
"211","debería_actuar",1
"212","debería_llegar",1
"213","debería_retirarla",1
"214","deberian_existir",1
"215","deberían_aplicar",1
"216","deberían_capacitarse",1
"217","débil_schiaretti",1
"218","decís_totalmente",1
"219","decisiones_políticas",1
"220","degen_secuelas",1
"221","degollado_chuiii.viejo",1
"222","degollado_seguís",1
"223","deja_basurear",1
"224","dejan_hechos",1
"225","dejar_vivir",1
"226","delincuentes_ponele",1
"227","demas_socorro",1
"228","demasiadas_cagadas",1
"229","demen_referencias",1
"230","demente_meten",1
"231","depende_mmmm",1
"232","dependencias_policiales",1
"233","derecho_humano",1
"234","descubren_fiscales",1
"235","desear_sr",1
"236","despidos_suspensiones",1
"237","detenido_mire",1
"238","devoción_charlarán",1
"239","dicha_orden",1
"240","dichos_autoritarios",1
"241","diego_concha",1
"242","digo_luis",1
"243","discriminador_juez",1
"244","diste_ocote",1
"245","distintas_circunstancias",1
"246","dlztpsohsce_0guu1q_26itemid",1
"247","dnd_morder",1
"248","doble_moral",1
"249","dolarizados_endeudamiento",1
"250","droga_debería",1
"251","droga_sufren",1
"252","drogado_rompiendo",1
"253","drogado_xq",1
"254","drogas_ojalá",1
"255","drogon_choro",1
"256","dst_emg0_q75_s220x220",1
"257","dst_emg0_q75_s396x396",1
"258","dura_hablas",1
"259","dw_jefes",1
"260","ecuador_inservible",1
"261","educación_destruyó",1
"262","educado_soberbio",1
"263","eh_inflación",1
"264","el.min.d_salud",1
"265","embajador_ñoqui",1
"266","encuentran_pasados",1
"267","encuentren_acusando",1
"268","enferma_psiquicamente",1
"269","enferma_xq",1
"270","enfermas_vi",1
"271","enfermedad_yy",1
"272","enfermo_xq",1
"273","enfermos_empezando",1
"274","entra_cualquiera",1
"275","escribir_vos",1
"276","escrito_volver",1
"277","espacio_político",1
"278","espacios_vacíos",1
"279","estado_fuiste",1
"280","estado_maestro",1
"281","estafa_cambiemos",1
"282","estaría_buenísimo",1
"283","esté_inútil",1
"284","exceden_controle",1
"285","exigen_soplar",1
"286","existiendo_tipo",1
"287","explotadora_acusadora",1
"288","external_atl3",1
"289","external_cdg2",1
"290","ezequiel_castro",1
"291","facil_lavarse",1
"292","fácil_echarle",1
"293","falta_control",1
"294","familia_apúrate",1
"295","familia_busca",1
"296","familia_sabia",1
"297","familiar_muerto",1
"298","familias_alguien",1
"299","familias_destruidas",1
"300","familias_dios",1
"301","famoso_protocolo",1
"302","fármaco_deberia",1
"303","favor_deja",1
"304","felicito_doctor",1
"305","fiscal_justicia",1
"306","flaca_aumento",1
"307","frente_vago",1
"308","fuerza_actúa",1
"309","fuerza_bruta",1
"310","fuerza_politica",1
"311","fuerza_racional",1
"312","fuerzas_armadas",1
"313","fuiste_alguien",1
"314","fuiste_vi",1
"315","funciones_políticas",1
"316","futuras_permanentes",1
"317","galllinon_sos",1
"318","ganas_dw",1
"319","gata_flora",1
"320","gente_capaz",1
"321","gente_caraduras",1
"322","gente_inocente",1
"323","gente_pase",1
"324","gente_sale",1
"325","gobernador_corra",1
"326","gobernador_debería",1
"327","gobierno_trabajan",1
"328","gorilas_disfrazados",1
"329","grande_ojalá",1
"330","groserías_tremendamente",1
"331","guitarrista_slash",1
"332","guste_jajajaja",1
"333","haberse_preocupado",1
"334","hablar_gente",1
"335","hablar_pelotudeces",1
"336","hablas_mal",1
"337","hablen_boludecez",1
"338","habra_trabajado",1
"339","haga_justiciaa",1
"340","hagan_daño",1
"341","hechos_policias",1
"342","hiciste_vos",1
"343","hisieron_tratar",1
"344","horno_asesinos",1
"345","hospital_psiquiátrico",1
"346","hsdrmp_pq",1
"347","hubiera_matado",1
"348","hubiera_sacado",1
"349","hubiera_solucionado",1
"350","hubieran_pegado",1
"351","hubiese_ayudado",1
"352","hubieses_soluciónado",1
"353","huevis_xa",1
"354","humilde_opinion",1
"355","idea_ño",1
"356","iguales_xq",1
"357","importante_puesto",1
"358","imposible_pará",1
"359","imposible_vivir",1
"360","impresentable_acomodado",1
"361","impresentable_renuncie",1
"362","impresentable_señor",1
"363","impuestos_renuncien",1
"364","incopetentes_basta",1
"365","inflación_hablo",1
"366","información_mentiras",1
"367","inigualable_luis",1
"368","inseguridad_mirá",1
"369","inseguridad_suba",1
"370","inservible_explotadora",1
"371","inservible_justiciaporblas",1
"372","inservible_sos",1
"373","institucion_nefasta",1
"374","instituto_neuropsiquiátrico",1
"375","intendente_luisito",1
"376","intentó_defender",1
"377","interrogantes_1",1
"378","intolerancia_politica",1
"379","inutil_cara",1
"380","inútil_inservible",1
"381","inútil_jajajajaja",1
"382","inútil_mal",1
"383","inútil_osea",1
"384","inútil_pidiendo",1
"385","inútiles_años",1
"386","inútiles_dejensen",1
"387","inútiles_hablamos",1
"388","iso_daño",1
"389","jajaj_che",1
"390","jajajajajajaj_juez",1
"391","jefa_perdon",1
"392","jefes_pobre",1
"393","jodeer_locooo",1
"394","joven_debería",1
"395","joven_drogado",1
"396","juan_cumple",1
"397","jueces_abogados",1
"398","jueces_corruptos",1
"399","jueces_opinamos",1
"400","juez_anda",1
"401","juez_corrupto",1
"402","juez_dejaste",1
"403","juez_fiel",1
"404","juez_peronista",1
"405","juez_querido",1
"406","juez_totalmente",1
"407","juez_vos",1
"408","jugarse_porq",1
"409","juntar_hora",1
"410","justicia_actúa",1
"411","justicia_divina",1
"412","justicia_respetemos",1
"413","juzgado_acompaña",1
"414","kd3qepsypiax_njwvu__nc_oc",1
"415","kelm_debería",1
"416","km_corresponde",1
"417","ladrones_pasan",1
"418","lamentablemente_termina",1
"419","legal_caso",1
"420","ley_presento",1
"421","linguiando_luis",1
"422","llevas_bas",1
"423","lo.qie_hacía",1
"424","locooo_basta",1
"425","logro_determinar",1
"426","logro_diagnosticar",1
"427","luisito_diste",1
"428","maestro_luis",1
"429","mal_accionar",1
"430","mal_hablado",1
"431","mal_humor",1
"432","malvivientes_xq",1
"433","mando_macri",1
"434","mano_dura",1
"435","mano_fuiste",1
"436","mano_toca",1
"437","marchen_presos",1
"438","masa_cordobes",1
"439","mataba_mierda",1
"440","mataran_porq",1
"441","medias_ja",1
"442","médico_forense",1
"443","medicos_políticos",1
"444","medirse_siquiera",1
"445","menor_idea",1
"446","mental_brilla",1
"447","mentalmente_enfermas",1
"448","mentiras_tapan",1
"449","merece_morir",1
"450","merecía_ke",1
"451","mienten_asquerosamente",1
"452","mierd_opinan",1
"453","mierdas_mira",1
"454","ministro_mosquera",1
"455","momentos_horribles",1
"456","mosquera_cobra",1
"457","muerte_2",1
"458","muerte_anunciada",1
"459","muerto_ignorantes",1
"460","mujer_rs",1
"461","multas_nomás",1
"462","mundo_buen",1
"463","municipalidad_caradura",1
"464","narcos_violadores",1
"465","necesita_ayuda",1
"466","necesita_urgente",1
"467","necesitaba_ayuda",1
"468","nefasta_justicia",1
"469","nesecitaba_atención",1
"470","ningun_cagon",1
"471","noche_pobre",1
"472","nomas_bueno",1
"473","nosocomio_médico",1
"474","nota_señora",1
"475","notas_ingresadas",1
"476","ñoqui_alta",1
"477","obras_vayan",1
"478","ocurriendo_casos",1
"479","ojalá_paguen",1
"480","opinan_conocen",1
"481","opinar_boludeces",1
"482","opinen_demen",1
"483","opinion_concreta",1
"484","opinion_pienso",1
"485","opinólogos_enfrentar",1
"486","oportunidad_hubieses",1
"487","órdenes_estrictas",1
"488","pagamos_impuestos",1
"489","pagamos_policias",1
"490","pagar_ojala",1
"491","pagar_sueldos",1
"492","país_cualquiera",1
"493","país_peores",1
"494","pais.le_das",1
"495","panqueque_tranza",1
"496","parlachin_bla",1
"497","pasas_tomando",1
"498","pasen_estás",1
"499","paso_adentro",1
"500","pasó_posiblemente",1
"501","patrulleros_dando",1
"502","pecho_sabiendo",1
"503","pedante_atrevido",1
"504","pedir_ayuda",1
"505","pedir_justicia",1
"506","pelota_entré",1
"507","peregiles_lpmqlp",1
"508","perros_bravo",1
"509","persona_drogada",1
"510","persona_idónea",1
"511","persona_merece",1
"512","persona_peligrosa",1
"513","persona_sufrió",1
"514","persona_tenia",1
"515","personas_drogadas",1
"516","personas_llegan",1
"517","personas_mentalmente",1
"518","personas_peligrosas",1
"519","pésimas_decisiones",1
"520","pistolas_taser",1
"521","planeros_seguro",1
"522","planta_permanente",1
"523","plena_luz",1
"524","pobre_chico",1
"525","pobre_familia",1
"526","pobre_infeliz",1
"527","pobre_joni",1
"528","pobre_pensar",1
"529","pobre_tipo",1
"530","pobres_tontos",1
"531","podes_salir",1
"532","podían_reducirlo",1
"533","podrías_pedir",1
"534","podrida_menospresiando",1
"535","poli_haci",1
"536","policia_bueno",1
"537","policia_levanta",1
"538","policia_llega",1
"539","policia_pura",1
"540","policia_suben",1
"541","policía_actuar",1
"542","policía_autoridad",1
"543","policía_choros",1
"544","policía_controles",1
"545","policía_córdoba",1
"546","policía_debería",1
"547","policía_educada",1
"548","policía_furiosa",1
"549","policía_hdrmp",1
"550","policía_tendría",1
"551","policial_pongan",1
"552","policias_incopetentes",1
"553","policias_mandados",1
"554","policias_policias",1
"555","policías_cagones",1
"556","policías_involucrados",1
"557","polis_entra",1
"558","política_corrupta",1
"559","políticas_tendrían",1
"560","políticos_corruptos",1
"561","políticos_opinologos",1
"562","ponele_vidas",1
"563","ponen_miles",1
"564","prensa_inútil",1
"565","presidente_mira",1
"566","presidentes_mal",1
"567","primavera_empezando",1
"568","pro_critica",1
"569","problemas_cardíacos",1
"570","problemas_psiquiátricos",1
"571","problemas_psquiatricos",1
"572","procede.es_facil",1
"573","procedimientos_policial",1
"574","profesionales_recurría",1
"575","provincia_responsable",1
"576","psicótico_claaaaaa",1
"577","psicótico_ud",1
"578","psicóticos_policías",1
"579","psiquiatría_lamentablemente",1
"580","psiquicamente_pasen",1
"581","pudieron_contenerlo.nadie",1
"582","puedemos_sacarlos",1
"583","puesto_juicio",1
"584","puesto_politico",1
"585","pulso_mira",1
"586","pura_chachara",1
"587","purga_ws",1
"588","puta_justicia",1
"589","quedan_presos",1
"590","quede_impune",1
"591","quejan_pregunto",1
"592","quenotienecara_mosquera",1
"593","querés_aparentar",1
"594","querían_matar",1
"595","quetejedi_vieja",1
"596","quieren_sobornos",1
"597","quiero_justificar",1
"598","qvle_disparó",1
"599","r1ilyx23vmgax_eeig5",1
"600","racional_tenes",1
"601","rata_juzga",1
"602","ratas_capa",1
"603","razón_señor",1
"604","re_podrida",1
"605","reales_responsables.todo",1
"606","recarga_alos",1
"607","recaudar_caminera",1
"608","recistis_ami",1
"609","renuncia_vos",1
"610","renunciar_pedile",1
"611","renuncias_vos",1
"612","renuncie_juez",1
"613","renuncie_mosquera",1
"614","renuncien_inútiles",1
"615","respetemos_ala",1
"616","respeto_ala",1
"617","responsable_único",1
"618","revisacion_legal",1
"619","revivír_exceso",1
"620","ropa_azul",1
"621","ropa_prestada",1
"622","rosca_quisiera",1
"623","rre_incomoda",1
"624","rumbo_lento",1
"625","sabia_lo.qie",1
"626","sabía_señora",1
"627","sacando_personal",1
"628","salamines_pobres",1
"629","salen_mal",1
"630","salir_tranquila",1
"631","saliste_amorfa.lo",1
"632","saludan_tratan",1
"633","salva_pobre",1
"634","saquen_cagando",1
"635","sas_tre",1
"636","schioretti_mira",1
"637","secuelas_futuras",1
"638","sede_policial",1
"639","seguir_ocurriendo",1
"640","seguir_viviendo",1
"641","seguís_robando",1
"642","seguridad_actúan",1
"643","seguridad_creí",1
"644","seguro_juez",1
"645","sela_rascan",1
"646","señor_gobernador",1
"647","señor_juez",1
"648","señora_impresentable",1
"649","señora.que_pongan",1
"650","sicotico_acá",1
"651","siga_existiendo",1
"652","sigan_asiendose",1
"653","siguen_trabajando",1
"654","siiiiii_deberían",1
"655","sinvergüenza_tenés",1
"656","situación_similar",1
"657","situación_sra",1
"658","situación_traen",1
"659","situaciones_falta",1
"660","soberbio_incalificable",1
"661","sociedad_alguien",1
"662","sociedad_corroída",1
"663","sociedad_salio",1
"664","sos_cara",1
"665","sos_cualquiera",1
"666","sos_seguís",1
"667","sr_juez",1
"668","sra_fiscal",1
"669","sra_vero",1
"670","sub_comisario",1
"671","suben_2",1
"672","sucedido_pobres",1
"673","sueldo_nomas",1
"674","sujetos_psicóticos",1
"675","super_polis",1
"676","suspensiones_tarifazos",1
"677","t13_588388146291946083",1
"678","t13_7749786725871730447",1
"679","ta_lleno",1
"680","tanta_agresión",1
"681","tanta_corrupcion",1
"682","tanta_lástima",1
"683","tantas_faltas",1
"684","tarifazos_dolarizados",1
"685","tenerles_miedo",1
"686","tenes_moral",1
"687","tenes_razón",1
"688","tenés_juez",1
"689","tenés_re",1
"690","tenia_brotes",1
"691","tenor.co_2fimages",1
"692","tienes_voz",1
"693","tío_juan",1
"694","tipo_charlatán",1
"695","tipo_deplorable",1
"696","tipo_insoportable",1
"697","tipo_personas",1
"698","tipo_pide",1
"699","tipo_podrías",1
"700","tira_mierda",1
"701","tma_seguridad",1
"702","tomando_cafecito",1
"703","tomar_medidas",1
"704","tontos_alguien",1
"705","trabajador_asesinado",1
"706","trabajadores_juez",1
"707","trabajando_aaahh",1
"708","trabas_hablemos",1
"709","traen_chicos",1
"710","tremendamente_mal",1
"711","trigo_limpio",1
"712","tv_porteña",1
"713","ud_logro",1
"714","uds_sabelotodos",1
"715","única_forma",1
"716","único_bregando",1
"717","unicos_porq",1
"718","uniforme_traidores",1
"719","vaaamos_gente",1
"720","vacíos_ojalá",1
"721","vas_sigan",1
"722","veinte_años",1
"723","veleta_panqueque",1
"724","ven_cambien",1
"725","ven_uds",1
"726","vergüenza_cara",1
"727","vergüenza_ensucian",1
"728","vergüenza_resuelan",1
"729","vero_ak",1
"730","ves_propone",1
"731","via_pública",1
"732","vida_detuviste",1
"733","vidas_arruinadas",1
"734","vídeo_ud",1
"735","vieja_chita",1
"736","vieja_comegratis",1
"737","viejo_fracasado",1
"738","violadores_esesinos",1
"739","viviendo_tma",1
"740","vivir_tranquilo",1
"741","vos_capas",1
"742","vos_fuiste",1
"743","voto_coincido",1
"744","votos_pone",1
"745","voz_caradura",1
"746","ws_venganza",1
"747","xq_actúa",1
"748","xq_actuan",1
"749","xq_automáticamente",1
"750","xq_creen",1
"751","xq_pobrecito",1
